date,query,page,clicks,impressions,ctr,position
2024-01-07,study in uk for indian students,https://www.eduminatti.com/ielts-coaching,9,195,5.1,7.8
2024-01-08,best universities in canada for indian students,https://www.eduminatti.com/,0,7,2.75,16.5
2024-01-08,mba abroad consultants,https://www.eduminatti.com/study-in-usa,0,14,1.57,29.8
2024-01-08,student visa canada 2024,https://www.eduminatti.com/study-in-canada,4,68,6.82,5.1
2024-01-08,study in canada after 12th,https://www.eduminatti.com/scholarships,0,32,1.9,28.3
2024-01-08,usa student visa f1,https://www.eduminatti.com/study-in-australia,0,47,0.76,34.6
2024-01-08,scholarship for indian students abroad,https://www.eduminatti.com/ielts-coaching,0,7,0.51,41.7
2024-01-08,study in uk for indian students,https://www.eduminatti.com/student-visa,0,8,0.73,25.2
2024-01-08,study abroad consultants in india,https://www.eduminatti.com/study-in-usa,17,192,8.97,11.4
2024-01-08,new zealand student visa,https://www.eduminatti.com/student-visa,7,102,7.23,9.0
2024-01-08,ielts coaching near me,https://www.eduminatti.com/study-in-uk,0,21,0.9,32.4
2024-01-09,student visa canada 2024,https://www.eduminatti.com/about-us,0,25,1.59,22.6
2024-01-09,study abroad consultants in india,https://www.eduminatti.com/study-in-germany,3,97,3.27,10.2
2024-01-09,australia study visa process,https://www.eduminatti.com/student-visa,0,6,0.79,17.6
2024-01-09,study in canada after 12th,https://www.eduminatti.com/study-in-germany,0,37,1.5,18.5
2024-01-09,uk student visa requirements,https://www.eduminatti.com/scholarships,0,19,1.06,18.5
2024-01-09,top engineering colleges abroad,https://www.eduminatti.com/,0,19,1.0,43.1
2024-01-09,mba abroad consultants,https://www.eduminatti.com/study-in-australia,3,57,5.68,14.4
2024-01-09,abroad education loan india,https://www.eduminatti.com/study-in-usa,0,31,2.51,39.4
2024-01-09,new zealand student visa,https://www.eduminatti.com/study-in-australia,0,22,2.66,20.8
2024-01-10,study in uk for indian students,https://www.eduminatti.com/study-in-uk,0,24,1.52,31.4
2024-01-10,new zealand student visa,https://www.eduminatti.com/about-us,0,25,1.66,30.9
2024-01-10,study abroad consultants in india,https://www.eduminatti.com/,0,18,1.57,16.2
2024-01-10,usa student visa f1,https://www.eduminatti.com/ielts-coaching,0,29,2.19,33.7
2024-01-10,education consultancy fees,https://www.eduminatti.com/study-in-germany,0,47,1.52,26.1
2024-01-10,australia study visa process,https://www.eduminatti.com/about-us,0,12,2.3,16.7
2024-01-10,best country to study abroad,https://www.eduminatti.com/ielts-coaching,184,780,23.65,4.9
2024-01-10,ielts coaching near me,https://www.eduminatti.com/student-visa,0,47,0.99,34.8
2024-01-10,best universities in canada for indian students,https://www.eduminatti.com/ielts-coaching,0,40,0.82,35.3
2024-01-11,australia study visa process,https://www.eduminatti.com/about-us,0,20,2.18,17.8
2024-01-11,new zealand student visa,https://www.eduminatti.com/study-in-australia,0,14,0.56,40.6
2024-01-11,pte coaching classes,https://www.eduminatti.com/study-in-australia,1,44,2.62,49.2
2024-01-11,uk student visa requirements,https://www.eduminatti.com/study-in-canada,0,45,1.94,23.6
2024-01-11,student visa canada 2024,https://www.eduminatti.com/ielts-coaching,0,20,0.87,25.5
2024-01-11,mba abroad consultants,https://www.eduminatti.com/,0,11,2.45,44.8
2024-01-11,education consultancy fees,https://www.eduminatti.com/study-in-australia,10,162,6.25,10.0
2024-01-11,germany education consultants,https://www.eduminatti.com/student-visa,3,61,6.2,13.6
2024-01-12,education consultancy fees,https://www.eduminatti.com/study-in-canada,0,26,1.86,21.6
2024-01-12,top engineering colleges abroad,https://www.eduminatti.com/ielts-coaching,77,530,14.62,4.5
2024-01-12,abroad education loan india,https://www.eduminatti.com/study-in-usa,0,10,0.85,44.8
2024-01-12,pte coaching classes,https://www.eduminatti.com/study-in-australia,0,14,2.27,20.1
2024-01-12,germany education consultants,https://www.eduminatti.com/student-visa,0,20,1.19,25.0
2024-01-12,study in uk for indian students,https://www.eduminatti.com/study-in-australia,0,22,2.41,42.2
2024-01-12,new zealand student visa,https://www.eduminatti.com/study-in-uk,0,35,1.63,37.6
2024-01-12,study in canada after 12th,https://www.eduminatti.com/study-in-canada,0,20,1.18,36.1
2024-01-13,australia study visa process,https://www.eduminatti.com/ielts-coaching,6,137,4.77,15.0
2024-01-13,study in uk for indian students,https://www.eduminatti.com/study-in-australia,0,26,2.4,23.6
2024-01-13,mba abroad consultants,https://www.eduminatti.com/scholarships,5,96,5.65,10.3
2024-01-13,masters in data science abroad,https://www.eduminatti.com/about-us,0,30,1.98,27.4
2024-01-13,uk student visa requirements,https://www.eduminatti.com/,5,139,3.95,5.6
2024-01-13,best country to study abroad,https://www.eduminatti.com/,1,47,2.2,20.4
2024-01-13,free education in germany,https://www.eduminatti.com/study-in-australia,0,22,1.59,25.2
2024-01-13,study abroad consultants in india,https://www.eduminatti.com/ielts-coaching,0,39,2.5,27.6
2024-01-13,pte coaching classes,https://www.eduminatti.com/ielts-coaching,0,34,2.8,36.6
2024-01-14,usa student visa f1,https://www.eduminatti.com/study-in-germany,0,15,2.01,38.7
2024-01-14,pte coaching classes,https://www.eduminatti.com/study-in-australia,0,46,0.6,33.0
2024-01-14,study abroad consultants in india,https://www.eduminatti.com/,0,17,2.6,47.6
2024-01-14,study in uk for indian students,https://www.eduminatti.com/about-us,3,62,6.31,8.9
2024-01-14,best universities in canada for indian students,https://www.eduminatti.com/study-in-canada,0,18,1.66,28.9
2024-01-15,germany education consultants,https://www.eduminatti.com/student-visa,0,34,1.59,39.1
2024-01-15,study in uk for indian students,https://www.eduminatti.com/student-visa,0,22,2.04,48.3
2024-01-15,australia study visa process,https://www.eduminatti.com/about-us,8,92,8.82,14.5
2024-01-15,mba abroad consultants,https://www.eduminatti.com/scholarships,0,32,0.94,35.8
2024-01-15,study in canada after 12th,https://www.eduminatti.com/scholarships,9,122,7.45,6.6
2024-01-15,masters in data science abroad,https://www.eduminatti.com/study-in-usa,0,47,1.43,27.3
2024-01-15,scholarship for indian students abroad,https://www.eduminatti.com/about-us,1,41,2.46,40.6
2024-01-15,uk student visa requirements,https://www.eduminatti.com/study-in-australia,9,107,8.95,6.4
2024-01-15,ielts coaching near me,https://www.eduminatti.com/ielts-coaching,0,17,0.69,47.2
2024-01-15,study abroad consultants in india,https://www.eduminatti.com/student-visa,0,5,2.62,32.9
2024-01-16,education consultancy fees,https://www.eduminatti.com/study-in-usa,47,432,11.09,2.9
2024-01-16,study in canada after 12th,https://www.eduminatti.com/study-in-australia,0,21,1.35,18.7
2024-01-16,top engineering colleges abroad,https://www.eduminatti.com/about-us,0,22,1.89,35.5
2024-01-16,free education in germany,https://www.eduminatti.com/student-visa,0,10,1.1,47.5
2024-01-16,best country to study abroad,https://www.eduminatti.com/ielts-coaching,0,20,2.23,25.2
2024-01-17,usa student visa f1,https://www.eduminatti.com/study-in-uk,0,50,1.84,16.2
2024-01-17,mba abroad consultants,https://www.eduminatti.com/study-in-uk,0,36,0.76,32.4
2024-01-17,free education in germany,https://www.eduminatti.com/study-in-germany,26,155,17.41,3.7
2024-01-17,australia study visa process,https://www.eduminatti.com/study-in-canada,0,23,1.07,41.9
2024-01-17,ielts coaching near me,https://www.eduminatti.com/about-us,0,38,1.99,48.9
2024-01-17,pte coaching classes,https://www.eduminatti.com/about-us,0,40,1.83,19.4
2024-01-17,student visa canada 2024,https://www.eduminatti.com/study-in-australia,1,39,2.88,16.8
2024-01-17,study abroad consultants in india,https://www.eduminatti.com/scholarships,4,94,4.61,14.6
2024-01-17,study in canada after 12th,https://www.eduminatti.com/ielts-coaching,0,40,1.33,49.8
2024-01-17,scholarship for indian students abroad,https://www.eduminatti.com/study-in-uk,7,153,4.94,10.8
2024-01-18,study in canada after 12th,https://www.eduminatti.com/study-in-australia,9,136,7.24,7.2
2024-01-18,study in uk for indian students,https://www.eduminatti.com/study-in-uk,0,24,0.71,40.8
2024-01-18,free education in germany,https://www.eduminatti.com/study-in-usa,2,43,4.77,10.4
2024-01-18,scholarship for indian students abroad,https://www.eduminatti.com/scholarships,2,46,5.8,7.0
2024-01-18,pte coaching classes,https://www.eduminatti.com/study-in-canada,0,48,0.63,29.5
2024-01-19,top engineering colleges abroad,https://www.eduminatti.com/study-in-germany,0,8,2.02,29.1
2024-01-19,new zealand student visa,https://www.eduminatti.com/study-in-canada,0,18,2.06,47.5
2024-01-19,best country to study abroad,https://www.eduminatti.com/study-in-germany,0,15,1.1,33.5
2024-01-19,study in canada after 12th,https://www.eduminatti.com/student-visa,1,30,5.86,5.1
2024-01-19,free education in germany,https://www.eduminatti.com/about-us,0,7,1.08,24.3
2024-01-19,mba abroad consultants,https://www.eduminatti.com/study-in-germany,0,34,0.68,35.6
2024-01-19,abroad education loan india,https://www.eduminatti.com/study-in-australia,0,45,1.97,46.3
2024-01-19,scholarship for indian students abroad,https://www.eduminatti.com/study-in-australia,0,39,1.06,22.1
2024-01-19,australia study visa process,https://www.eduminatti.com/study-in-uk,0,14,0.68,45.6
2024-01-20,ielts coaching near me,https://www.eduminatti.com/,1,48,2.55,50.0
2024-01-20,study in canada after 12th,https://www.eduminatti.com/study-in-canada,12,177,7.11,12.6
2024-01-20,top engineering colleges abroad,https://www.eduminatti.com/about-us,44,279,16.0,3.5
2024-01-20,free education in germany,https://www.eduminatti.com/scholarships,0,43,0.6,22.7
2024-01-20,scholarship for indian students abroad,https://www.eduminatti.com/study-in-germany,0,22,1.75,35.4
2024-01-20,masters in data science abroad,https://www.eduminatti.com/ielts-coaching,0,43,1.13,37.1
2024-01-21,australia study visa process,https://www.eduminatti.com/scholarships,13,191,7.26,7.4
2024-01-21,top engineering colleges abroad,https://www.eduminatti.com/scholarships,0,8,1.01,31.8
2024-01-21,best country to study abroad,https://www.eduminatti.com/study-in-australia,0,24,1.88,35.9
2024-01-21,best universities in canada for indian students,https://www.eduminatti.com/,8,122,7.36,10.6
2024-01-21,study in uk for indian students,https://www.eduminatti.com/student-visa,6,103,6.07,7.9
2024-01-21,abroad education loan india,https://www.eduminatti.com/study-in-usa,12,133,9.05,7.1
2024-01-21,study in canada after 12th,https://www.eduminatti.com/study-in-usa,0,15,1.32,34.0
2024-01-21,education consultancy fees,https://www.eduminatti.com/scholarships,0,30,2.53,15.5
2024-01-21,pte coaching classes,https://www.eduminatti.com/,0,39,1.65,33.4
2024-01-21,uk student visa requirements,https://www.eduminatti.com/student-visa,25,190,13.35,3.3
2024-01-22,abroad education loan india,https://www.eduminatti.com/study-in-germany,0,22,1.54,26.2
2024-01-22,student visa canada 2024,https://www.eduminatti.com/scholarships,0,20,1.64,49.0
2024-01-22,top engineering colleges abroad,https://www.eduminatti.com/study-in-uk,0,43,1.77,20.1
2024-01-22,ielts coaching near me,https://www.eduminatti.com/study-in-uk,0,22,2.43,43.4
2024-01-22,study in canada after 12th,https://www.eduminatti.com/ielts-coaching,0,37,1.17,18.0
2024-01-22,best universities in canada for indian students,https://www.eduminatti.com/,0,24,2.59,15.2
2024-01-22,germany education consultants,https://www.eduminatti.com/about-us,0,36,2.66,49.9
2024-01-22,free education in germany,https://www.eduminatti.com/scholarships,0,27,1.33,27.6
2024-01-22,study in uk for indian students,https://www.eduminatti.com/student-visa,0,25,2.67,19.8
2024-01-23,australia study visa process,https://www.eduminatti.com/study-in-australia,0,23,2.99,32.1
2024-01-23,new zealand student visa,https://www.eduminatti.com/scholarships,0,7,2.04,43.8
2024-01-23,usa student visa f1,https://www.eduminatti.com/student-visa,0,25,2.07,19.9
2024-01-23,uk student visa requirements,https://www.eduminatti.com/ielts-coaching,0,26,2.63,33.0
2024-01-23,study abroad consultants in india,https://www.eduminatti.com/study-in-canada,0,21,1.35,24.3
2024-01-23,best country to study abroad,https://www.eduminatti.com/about-us,0,11,2.69,17.6
2024-01-23,masters in data science abroad,https://www.eduminatti.com/scholarships,4,146,3.11,6.3
2024-01-23,free education in germany,https://www.eduminatti.com/scholarships,0,13,1.76,48.3
2024-01-23,top engineering colleges abroad,https://www.eduminatti.com/ielts-coaching,1,46,2.95,49.4
2024-01-23,abroad education loan india,https://www.eduminatti.com/study-in-uk,1,46,2.92,21.4
2024-01-24,usa student visa f1,https://www.eduminatti.com/scholarships,0,48,1.87,45.2
2024-01-24,free education in germany,https://www.eduminatti.com/scholarships,0,17,3.0,42.5
2024-01-24,study abroad consultants in india,https://www.eduminatti.com/study-in-germany,0,32,2.23,32.5
2024-01-24,mba abroad consultants,https://www.eduminatti.com/study-in-canada,0,27,2.97,22.9
2024-01-24,masters in data science abroad,https://www.eduminatti.com/scholarships,2,32,9.29,13.9
2024-01-24,student visa canada 2024,https://www.eduminatti.com/study-in-usa,0,23,1.4,40.1
2024-01-24,study in uk for indian students,https://www.eduminatti.com/ielts-coaching,0,20,1.74,31.6
2024-01-24,ielts coaching near me,https://www.eduminatti.com/study-in-uk,3,50,7.27,9.7
2024-01-24,abroad education loan india,https://www.eduminatti.com/ielts-coaching,9,165,5.88,8.6
2024-01-24,study in canada after 12th,https://www.eduminatti.com/about-us,11,148,7.47,8.4
2024-01-25,ielts coaching near me,https://www.eduminatti.com/ielts-coaching,15,174,9.06,14.8
2024-01-25,top engineering colleges abroad,https://www.eduminatti.com/,0,36,2.58,45.7
2024-01-25,best country to study abroad,https://www.eduminatti.com/study-in-germany,0,19,2.02,39.1
2024-01-25,usa student visa f1,https://www.eduminatti.com/study-in-usa,5,78,7.35,12.1
2024-01-25,scholarship for indian students abroad,https://www.eduminatti.com/study-in-uk,0,45,2.12,32.0
2024-01-25,new zealand student visa,https://www.eduminatti.com/study-in-germany,0,7,1.95,39.7
2024-01-25,mba abroad consultants,https://www.eduminatti.com/study-in-uk,5,105,5.29,5.9
2024-01-25,study abroad consultants in india,https://www.eduminatti.com/ielts-coaching,5,63,8.51,10.0
2024-01-26,study in canada after 12th,https://www.eduminatti.com/study-in-usa,0,48,1.16,34.1
2024-01-26,abroad education loan india,https://www.eduminatti.com/ielts-coaching,0,28,0.77,41.4
2024-01-26,study in uk for indian students,https://www.eduminatti.com/ielts-coaching,65,649,10.1,2.2
2024-01-26,uk student visa requirements,https://www.eduminatti.com/ielts-coaching,0,40,1.41,48.4
2024-01-26,education consultancy fees,https://www.eduminatti.com/study-in-uk,0,19,2.65,38.1
2024-01-26,new zealand student visa,https://www.eduminatti.com/scholarships,0,23,2.37,48.4
2024-01-26,masters in data science abroad,https://www.eduminatti.com/study-in-usa,0,34,2.91,40.5
2024-01-27,pte coaching classes,https://www.eduminatti.com/study-in-canada,0,34,2.77,32.3
2024-01-27,study abroad consultants in india,https://www.eduminatti.com/study-in-germany,0,12,0.85,33.0
2024-01-27,study in uk for indian students,https://www.eduminatti.com/,0,36,0.79,16.3
2024-01-27,germany education consultants,https://www.eduminatti.com/study-in-australia,0,13,1.47,44.5
2024-01-27,top engineering colleges abroad,https://www.eduminatti.com/study-in-usa,1,49,2.86,34.0
2024-01-27,new zealand student visa,https://www.eduminatti.com/ielts-coaching,0,14,2.71,30.0
2024-01-28,study in canada after 12th,https://www.eduminatti.com/student-visa,2,74,3.77,13.7
2024-01-28,top engineering colleges abroad,https://www.eduminatti.com/about-us,61,248,24.79,1.6
2024-01-28,masters in data science abroad,https://www.eduminatti.com/study-in-australia,0,14,2.47,17.4
2024-01-28,uk student visa requirements,https://www.eduminatti.com/student-visa,7,85,8.69,11.5
2024-01-28,usa student visa f1,https://www.eduminatti.com/study-in-australia,0,41,1.01,49.5
2024-01-28,abroad education loan india,https://www.eduminatti.com/ielts-coaching,5,61,9.64,14.9
2024-01-28,education consultancy fees,https://www.eduminatti.com/scholarships,6,84,7.49,5.9
2024-01-28,pte coaching classes,https://www.eduminatti.com/study-in-usa,0,46,1.4,27.9
2024-01-28,ielts coaching near me,https://www.eduminatti.com/study-in-australia,0,11,2.95,43.0
2024-01-28,best universities in canada for indian students,https://www.eduminatti.com/about-us,0,8,2.47,48.6
2024-01-29,germany education consultants,https://www.eduminatti.com/student-visa,1,46,2.91,16.1
2024-01-29,usa student visa f1,https://www.eduminatti.com/study-in-usa,0,11,1.63,26.4
2024-01-29,top engineering colleges abroad,https://www.eduminatti.com/study-in-australia,0,7,2.32,47.4
2024-01-29,study abroad consultants in india,https://www.eduminatti.com/ielts-coaching,0,9,1.69,27.0
2024-01-29,mba abroad consultants,https://www.eduminatti.com/,1,43,3.89,10.0
2024-01-30,pte coaching classes,https://www.eduminatti.com/scholarships,2,50,5.25,5.1
2024-01-30,best country to study abroad,https://www.eduminatti.com/study-in-uk,70,381,18.61,4.7
2024-01-30,abroad education loan india,https://www.eduminatti.com/about-us,0,25,1.45,28.1
2024-01-30,ielts coaching near me,https://www.eduminatti.com/about-us,0,34,1.76,27.2
2024-01-30,masters in data science abroad,https://www.eduminatti.com/ielts-coaching,5,59,8.97,6.3
2024-01-31,usa student visa f1,https://www.eduminatti.com/study-in-canada,0,40,1.42,18.5
2024-01-31,new zealand student visa,https://www.eduminatti.com/study-in-australia,6,153,4.57,9.0
2024-01-31,pte coaching classes,https://www.eduminatti.com/about-us,0,11,1.94,16.7
2024-01-31,uk student visa requirements,https://www.eduminatti.com/ielts-coaching,0,8,2.92,43.6
2024-01-31,free education in germany,https://www.eduminatti.com/study-in-canada,1,47,2.85,21.4
2024-01-31,abroad education loan india,https://www.eduminatti.com/study-in-canada,1,51,3.65,5.9
2024-01-31,study in canada after 12th,https://www.eduminatti.com/study-in-canada,0,28,2.53,37.6
2024-01-31,australia study visa process,https://www.eduminatti.com/study-in-usa,1,48,2.81,47.7
2024-01-31,study in uk for indian students,https://www.eduminatti.com/study-in-canada,0,25,2.16,16.7
2024-01-31,top engineering colleges abroad,https://www.eduminatti.com/student-visa,118,675,17.55,4.4
2024-02-01,student visa canada 2024,https://www.eduminatti.com/,6,188,3.35,9.0
2024-02-01,new zealand student visa,https://www.eduminatti.com/study-in-usa,0,41,1.99,39.2
2024-02-01,education consultancy fees,https://www.eduminatti.com/scholarships,0,28,1.28,18.0
2024-02-01,abroad education loan india,https://www.eduminatti.com/ielts-coaching,183,748,24.52,4.9
2024-02-01,top engineering colleges abroad,https://www.eduminatti.com/study-in-usa,43,246,17.63,1.8
2024-02-01,free education in germany,https://www.eduminatti.com/study-in-germany,0,24,2.8,35.6
2024-02-01,study abroad consultants in india,https://www.eduminatti.com/study-in-canada,0,18,1.44,37.7
2024-02-02,education consultancy fees,https://www.eduminatti.com/ielts-coaching,6,161,3.8,14.7
2024-02-02,study in canada after 12th,https://www.eduminatti.com/ielts-coaching,11,181,6.41,6.9
2024-02-02,abroad education loan india,https://www.eduminatti.com/study-in-germany,124,504,24.74,3.7
2024-02-02,pte coaching classes,https://www.eduminatti.com/,98,408,24.07,1.9
2024-02-02,free education in germany,https://www.eduminatti.com/study-in-uk,0,23,1.32,38.6
2024-02-03,best country to study abroad,https://www.eduminatti.com/study-in-canada,0,25,0.93,21.1
2024-02-03,mba abroad consultants,https://www.eduminatti.com/about-us,0,45,1.54,21.1
2024-02-03,pte coaching classes,https://www.eduminatti.com/student-visa,0,37,1.9,35.6
2024-02-03,abroad education loan india,https://www.eduminatti.com/study-in-usa,22,143,15.42,5.0
2024-02-03,uk student visa requirements,https://www.eduminatti.com/scholarships,0,25,1.94,46.2
2024-02-04,pte coaching classes,https://www.eduminatti.com/about-us,6,197,3.53,8.9
2024-02-04,new zealand student visa,https://www.eduminatti.com/about-us,0,45,1.29,17.2
2024-02-04,australia study visa process,https://www.eduminatti.com/scholarships,0,41,2.4,24.0
2024-02-04,ielts coaching near me,https://www.eduminatti.com/study-in-australia,4,95,4.38,6.5
2024-02-04,scholarship for indian students abroad,https://www.eduminatti.com/scholarships,0,41,2.11,34.5
2024-02-04,student visa canada 2024,https://www.eduminatti.com/study-in-canada,0,17,2.76,27.2
2024-02-04,usa student visa f1,https://www.eduminatti.com/study-in-australia,0,15,0.69,17.7
2024-02-04,study in canada after 12th,https://www.eduminatti.com/student-visa,8,109,8.22,5.3
2024-02-04,abroad education loan india,https://www.eduminatti.com/study-in-usa,1,46,2.54,18.5
2024-02-05,study abroad consultants in india,https://www.eduminatti.com/study-in-usa,0,10,1.76,49.1
2024-02-05,new zealand student visa,https://www.eduminatti.com/student-visa,2,45,6.15,8.8
2024-02-05,education consultancy fees,https://www.eduminatti.com/about-us,0,25,2.01,33.1
2024-02-05,uk student visa requirements,https://www.eduminatti.com/study-in-uk,136,548,24.85,3.4
2024-02-05,study in canada after 12th,https://www.eduminatti.com/study-in-canada,0,37,1.46,31.3
2024-02-05,pte coaching classes,https://www.eduminatti.com/,0,23,0.69,19.4
2024-02-05,student visa canada 2024,https://www.eduminatti.com/student-visa,9,148,6.16,5.1
2024-02-05,scholarship for indian students abroad,https://www.eduminatti.com/about-us,0,7,1.62,28.4
2024-02-06,new zealand student visa,https://www.eduminatti.com/about-us,141,746,19.0,4.0
2024-02-06,uk student visa requirements,https://www.eduminatti.com/study-in-canada,0,40,2.2,17.5
2024-02-06,usa student visa f1,https://www.eduminatti.com/study-in-germany,19,198,9.75,13.7
2024-02-06,study in uk for indian students,https://www.eduminatti.com/about-us,0,26,0.7,43.9
2024-02-06,scholarship for indian students abroad,https://www.eduminatti.com/study-in-uk,0,24,2.92,46.0
2024-02-06,australia study visa process,https://www.eduminatti.com/ielts-coaching,2,51,5.17,7.8
2024-02-06,study in canada after 12th,https://www.eduminatti.com/ielts-coaching,0,26,2.53,32.7
2024-02-06,best country to study abroad,https://www.eduminatti.com/student-visa,9,138,6.56,6.0
2024-02-06,free education in germany,https://www.eduminatti.com/,0,16,2.88,19.1
2024-02-07,masters in data science abroad,https://www.eduminatti.com/scholarships,4,91,5.17,12.8
2024-02-07,best universities in canada for indian students,https://www.eduminatti.com/study-in-australia,0,44,1.21,48.5
2024-02-07,mba abroad consultants,https://www.eduminatti.com/study-in-uk,1,44,2.52,41.8
2024-02-07,new zealand student visa,https://www.eduminatti.com/study-in-uk,0,7,1.53,36.5
2024-02-07,australia study visa process,https://www.eduminatti.com/student-visa,101,444,22.9,3.3
2024-02-07,pte coaching classes,https://www.eduminatti.com/study-in-canada,1,39,2.59,26.1
2024-02-07,top engineering colleges abroad,https://www.eduminatti.com/about-us,5,126,4.08,7.9
